name,state_name,early_career_pay,mid_career_pay
Auburn University,Alabama,54400,104500
University of Alabama in Huntsville,Alabama,57500,103900
The University of Alabama,Alabama,52300,97400
Tuskegee University,Alabama,54500,93500
Samford University,Alabama,48400,90500
Spring Hill College,Alabama,46600,89100
Birmingham Southern College,Alabama,49100,88300
University of Alabama at Birmingham,Alabama,48600,87200
University of South Alabama,Alabama,47700,86400
Alabama A&M University,Alabama,48700,83500
Troy University,Alabama,44500,81500
Jacksonville State University,Alabama,43800,80000
Auburn University at Montgomery,Alabama,45000,79600
Huntingdon College,Alabama,42400,78900
Oakwood University,Alabama,43500,78800
Athens State University,Alabama,45000,78800
University of West Alabama,Alabama,42700,76100
University of North Alabama,Alabama,43000,75600
University of Mobile,Alabama,40600,74100
Alabama State University,Alabama,39800,71500
Faulkner University,Alabama,39400,71300
University of Montevallo,Alabama,38900,70700
Judson College,Alabama,37900,67600
Amridge University,Alabama,35700,65900
Miles College,Alabama,34800,65100
University of Alaska Fairbanks,Alaska,59100,101800
University of Alaska Anchorage,Alaska,56000,101000
Alaska Pacific University,Alaska,50300,90000
Embry-Riddle Aeronautical University-Prescott,Arizona,65600,117900
University of Arizona,Arizona,56100,101000
Arizona State University-Tempe,Arizona,54500,100900
Northern Arizona University,Arizona,49600,90000
Arizona Christian University,Arizona,42600,76600
Ottawa University-Phoenix,Arizona,42000,74600
Prescott College,Arizona,41200,73500
University of Arkansas,Arkansas,52500,98000
Hendrix College,Arkansas,48100,90300
University of Arkansas for Medical Sciences,Arkansas,51700,89100
Harding University,Arkansas,49200,88600
John Brown University,Arkansas,47000,82700
Arkansas State University-Main Campus,Arkansas,44600,81400
University of Arkansas at Little Rock,Arkansas,45600,80800
Ouachita Baptist University,Arkansas,44100,80200
Southern Arkansas University Main Campus,Arkansas,42800,80100
Henderson State University,Arkansas,42900,79800
University of Central Arkansas,Arkansas,44900,79800
University of Arkansas at Monticello,Arkansas,43500,78300
Arkansas Tech University,Arkansas,45000,76900
University of the Ozarks,Arkansas,42300,74500
Lyon College,Arkansas,41200,74300
University of Arkansas-Fort Smith,Arkansas,40700,71100
University of Arkansas at Pine Bluff,Arkansas,40500,70500
Central Baptist College,Arkansas,36900,68000
Philander Smith College,Arkansas,34600,61200
Harvey Mudd College,California,88800,158200
Samuel Merritt University,California,91200,154100
California Institute of Technology,California,84100,151600
Stanford University,California,79000,145200
Charles R Drew University of Medicine and Science,California,78300,135700
Santa Clara University,California,69900,134700
University of California-Berkeley,California,70700,131800
California State University Maritime Academy,California,70500,129600
Claremont McKenna College,California,68500,125400
University of California-San Diego,California,63400,123700
University of Southern California,California,64500,120600
California Polytechnic State University-San Luis Obispo,California,65600,119500
Pomona College,California,63800,117200
University of California-Santa Barbara,California,59700,116300
University of California-Los Angeles,California,62000,116100
University of California-Irvine,California,59600,116000
San Jose State University,California,63000,114700
Loyola Marymount University,California,58500,113300
University of California-Davis,California,61500,112600
Menlo College,California,61900,112400
California State Polytechnic University-Pomona,California,57700,110800
Saint Mary's College of California,California,59900,110800
University of San Francisco,California,60600,109900
Golden Gate University-San Francisco,California,59200,109800
University of San Diego,California,58900,109400
Colorado School of Mines,Colorado,75600,139600
United States Air Force Academy,Colorado,76300,138100
University of Colorado Boulder,Colorado,57800,109900
University of Denver,Colorado,55700,105100
Colorado College,Colorado,53100,97900
Colorado State University-Fort Collins,Colorado,53500,96100
