name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200
Academy of Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adelphi University,New York,NY,Private,4 Year,16030,38660,54690,38660,54690
Adrian College,Michigan,MI,Private,4 Year,11318,37087,48405,37087,48405
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Georgia,GA,Public,4 Year,8878,6726,15604,19802,28680
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155
Albright College,Pennsylvania,PA,Private,4 Year,12070,45306,57376,45306,57376
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752
Alderson-Broaddus University,West Virginia,WV,Private,4 Year,8860,27910,36770,27910,36770
Alfred University,New York,NY,Private,4 Year,12516,33484,46000,33484,46000
Allegheny College,Pennsylvania,PA,Private,4 Year,12140,47540,59680,47540,59680
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,4000,6400,10400,6400,10400
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252
Allen University,South Carolina,SC,Private,4 Year,7230,13340,20570,13340,20570
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256
Alverno College,Wisconsin,WI,Private,4 Year,8546,28302,36848,28302,36848
American Baptist College,Tennessee,TN,Private,4 Year,8640,10950,19590,10950,19590
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250,958,7208,958,7208
American International College,Massachusetts,MA,Private,4 Year,14300,35680,49980,35680,49980
American Jewish University,California,CA,Private,4 Year,17362,31826,49188,31826,49188
American University,NA,DC,Private,4 Year,14880,48459,63339,48459,63339
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166
Anderson University,South Carolina,SC,Private,4 Year,9830,28000,37830,28000,37830
Anderson University,Indiana,IN,Private,4 Year,9890,30450,40340,30450,40340
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366
Angelo State University,Texas,TX,Public,4 Year,9130,8489,17619,20939,30069
Anna Maria College,Massachusetts,MA,Private,4 Year,14630,37860,52490,37860,52490
Antioch College,Ohio,OH,Private,4 Year,7640,35718,43358,35718,43358
Appalachian Bible College,West Virginia,WV,Private,4 Year,7960,14720,22680,14720,22680
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325
Aquinas College,Michigan,MI,Private,4 Year,9332,32574,41906,32574,41906
Arcadia University,Pennsylvania,PA,Private,4 Year,13800,43580,57380,43580,57380
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984
Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826,8760,17586,8760,17586
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718
Arlington Baptist University,Texas,TX,Private,4 Year,6500,13190,19690,13190,19690
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251
Art Academy of Cincinnati,Ohio,OH,Private,4 Year,6700,33889,40589,33889,40589
Art Institute of Houston,Texas,TX,For Profit,4 Year,9600,24024,33624,24024,33624
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573
Art Institute of Pittsburgh,Pennsylvania,PA,For Profit,4 Year,2758,23376,26134,23376,26134
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358
Ashland University,Ohio,OH,Private,4 Year,9941,21342,31283,21342,31283
Assumption College,Massachusetts,MA,Private,4 Year,12694,40958,53652,40958,53652
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266
Aurora University,Illinois,IL,Private,4 Year,11700,24260,35960,24260,35960
Austin College,Texas,TX,Private,4 Year,12527,39985,52512,39985,52512
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167
Ave Maria University,Florida,FL,Private,4 Year,11436,20850,32286,20850,32286
Averett University,Virginia,VA,Private,4 Year,9976,34400,44376,34400,44376
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100
Azusa Pacific University,California,CA,Private,4 Year,10076,38880,48956,38880,48956
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240
Baldwin Wallace University,Ohio,OH,Private,4 Year,9554,32586,42140,32586,42140
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702
Baptist Bible College,Missouri,MO,Private,4 Year,7500,14150,21650,14150,21650
Baptist College of Florida,Florida,FL,Private,4 Year,4612,12300,16912,12300,16912
Baptist College of Health Sciences,Tennessee,TN,Private,4 Year,2900,14700,17600,14700,17600
Baptist Missionary Association Theological Seminary,Texas,TX,Private,4 Year,3150,6690,9840,6690,9840
Baptist University of the Americas,Texas,TX,Private,4 Year,2500,7800,10300,7800,10300
Barclay College,Kansas,KS,Private,4 Year,9300,19690,28990,19690,28990
Bard College,New York,NY,Private,4 Year,15488,54680,70168,54680,70168
Bard College at Simon's Rock,Massachusetts,MA,Private,4 Year,14916,55732,70648,55732,70648
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950
Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018
Bay Path University,Massachusetts,MA,Private,4 Year,12799,34225,47024,34225,47024
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322
Beacon College,Florida,FL,Private,4 Year,11390,39016,50406,39016,50406
Becker College,Massachusetts,MA,Private,4 Year,13800,39200,53000,39200,53000
Beis Medrash Heichal Dovid,New York,NY,Private,4 Year,4500,9500,14000,9500,14000
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870
Bemidji State University,Minnesota,MN,Public,4 Year,8408,8696,17104,8696,17104
Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830
Benedictine University,Illinois,IL,Private,4 Year,9480,34290,43770,34290,43770
Bennett College for Women,North Carolina,NC,Private,4 Year,8114,18513,26627,18513,26627
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754
Berklee College of Music,Massachusetts,MA,Private,4 Year,18180,42750,60930,42750,60930
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326
Beth Medrash Govoha,New Jersey,NJ,Private,4 Year,4172,21388,25560,21388,25560
Bethany College,Kansas,KS,Private,4 Year,10605,28475,39080,28475,39080
Bethany College,West Virginia,WV,Private,4 Year,10580,29773,40353,29773,40353
Bethany Lutheran College,Minnesota,MN,Private,4 Year,8100,27650,35750,27650,35750
Bethel College,Indiana,IN,Private,4 Year,9000,28590,37590,28590,37590
Bethel College,Kansas,KS,Private,4 Year,8850,28780,37630,28780,37630
Bethel University,Tennessee,TN,Private,4 Year,9198,16552,25750,16552,25750
Bethel University,Minnesota,MN,Private,4 Year,10520,37300,47820,37300,47820
Bethune-Cookman University,Florida,FL,Private,4 Year,9412,14814,24226,14814,24226
Beulah Heights University,Georgia,GA,Private,4 Year,6000,9880,15880,9880,15880
Biola University,California,CA,Private,4 Year,10730,40488,51218,40488,51218
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756
Blackburn College,Illinois,IL,Private,4 Year,7930,22410,30340,22410,30340
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500
Bloomsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9686,10958,20644,22532,32218
Blue Mountain College,Mississippi,MS,Private,4 Year,6294,12584,18878,12584,18878
Bluefield College,Virginia,VA,Private,4 Year,9024,25290,34314,25290,34314
Bluffton University,Ohio,OH,Private,4 Year,10800,32766,43566,32766,43566
Bob Jones University,South Carolina,SC,Private,4 Year,6976,18150,25126,18150,25126
Boise Bible College,Idaho,ID,Private,4 Year,6200,12520,18720,12520,18720
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468
Boston Architectural College,Massachusetts,MA,Private,4 Year,13280,21894,35174,21894,35174
Boston Baptist College,Massachusetts,MA,Private,4 Year,7810,12600,20410,12600,20410
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942
Boston Conservatory at Berklee,Massachusetts,MA,Private,4 Year,18360,46020,64380,46020,64380
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777
Bowling Green State University,Ohio,OH,Public,4 Year,9168,11105,20273,19093,28261
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835
Brenau University,Georgia,GA,Private,4 Year,12418,29050,41468,29050,41468
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600
Brevard College,North Carolina,NC,Private,4 Year,9900,29350,39250,29350,39250
Brewton-Parker College,Georgia,GA,Private,4 Year,7850,18690,26540,18690,26540
Briar Cliff University,Iowa,IA,Private,4 Year,9020,31964,40984,31964,40984
Bridgewater College,Virginia,VA,Private,4 Year,12720,35160,47880,35160,47880
Bridgewater State University,Massachusetts,MA,Public,4 Year,13090,10367,23457,16507,29597
Brigham Young University,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710
